;;DRYING;PIRO;RED;COMB
750;11.55;5;-1;-2;0
751;11.55;2;0;0;0
752;11.55;6;0;-2;0
753;11.55;-1;0;-1;0
754;11.55;-3;0;-1;0
755;11.55;-3;-1;-1;0
756;11.55;-3;0;-1;1
757;11.55;-4;-1;-2;0
758;11.55;-2;0;0;0
759;11.55;-1;0;-1;0
760;11.55;-4;-1;-1;1
761;11.56;-3;0;-1;0
762;11.56;-9;-2;-4;0
763;11.56;-1;-1;-1;1
764;11.56;-5;-1;-1;0
765;11.56;-3;0;-2;0
766;11.56;-4;-1;-1;1
767;11.56;-2;-1;-1;0
768;11.56;-3;-1;-2;1
769;11.56;-2;-1;-1;1
770;11.56;-1;0;0;0
771;11.56;-1;0;-1;1
772;11.56;-2;-1;-1;0
773;11.56;-1;0;-1;0
774;11.56;-2;-1;-1;0
775;11.56;-1;-1;-1;1
776;11.56;0;0;-1;0
777;11.56;3;-1;-2;0
778;11.56;2;-1;0;0
779;11.56;0;0;-1;0
780;11.56;1;-1;-1;0
781;11.56;0;0;-1;1
782;11.56;-1;-2;-2;0
783;11.56;-1;0;-1;0
784;11.56;-2;-1;-2;0
785;11.56;-1;-1;0;0
786;11.56;-1;0;-1;0
787;11.56;-1;0;0;1
788;11.56;-2;-1;-1;0
789;11.57;-2;-1;-1;0
790;11.57;-2;0;-1;1
791;11.57;-4;-2;-3;0
792;11.57;-1;0;-1;1
793;11.57;-4;-2;-2;1
794;11.57;-2;-1;-1;0
795;11.57;-2;0;-1;0
796;11.57;-2;-1;-1;0
797;11.57;-3;-2;-1;0
798;11.57;-1;0;0;0
799;11.57;-1;-1;-1;-1
800;11.57;-1;0;0;-1
801;11.57;0;-1;0;-1
802;11.57;0;0;-1;-1
803;11.57;-1;-1;0;0
804;11.57;0;0;0;0
805;11.57;-1;-1;0;-1
806;11.57;-1;0;0;0
807;11.57;0;-1;-1;-1
808;11.57;0;0;0;-1
809;11.57;-1;-1;0;0
810;11.57;0;0;0;-1
811;11.57;-1;-1;0;0
812;11.57;0;0;0;-1
813;11.57;-1;-1;0;-1
814;11.57;0;0;0;0
815;11.58;0;-1;0;-1
816;11.58;0;0;0;-1
817;11.58;0;0;0;-1
818;11.58;0;-1;0;0
819;11.58;2;-1;0;-1
820;11.58;0;0;0;0
821;11.58;1;0;0;0
822;11.58;1;0;1;-1
823;11.58;1;-1;0;0
824;11.58;2;0;0;0
825;11.58;1;-1;1;0
826;11.58;2;0;1;0
827;11.58;2;-1;0;0
828;11.58;1;0;1;0
829;11.58;1;-1;1;0
830;11.58;1;-1;1;-1
831;11.58;0;0;2;0
832;11.58;1;-1;1;0
833;11.58;0;-1;1;0
834;11.58;-1;0;1;0
835;11.58;0;0;1;0
836;11.58;0;-1;2;-1
837;11.58;0;-1;1;0
838;11.58;-1;-1;4;0
839;11.58;0;0;1;-1
840;11.58;0;0;2;0
841;11.58;0;-1;0;0
842;11.58;0;0;2;0
843;11.58;0;0;1;0
844;11.58;0;-1;2;-1
845;11.58;0;0;2;0
846;11.58;1;-1;2;0
847;11.59;1;-1;3;-1
848;11.59;0;0;2;0
849;11.59;1;-1;2;0
850;11.59;1;0;1;0
851;11.59;1;-1;3;0
852;11.59;2;0;4;0
853;11.59;1;-1;1;-1
854;11.59;1;0;2;0
855;11.59;1;0;1;0
856;11.59;1;-1;1;0
857;11.59;3;0;3;-1
858;11.59;2;-1;2;0
859;11.59;2;0;2;0
860;11.59;1;-1;2;0
861;11.59;1;0;0;0
862;11.59;0;-1;2;0
863;11.59;1;0;1;-1
864;11.59;1;-1;1;0
865;11.59;0;0;1;0
866;11.59;0;0;1;0
867;11.59;1;-1;1;0
868;11.59;2;-1;1;1
869;11.59;1;0;1;0
870;11.59;1;0;0;1
871;11.59;2;-1;1;0
872;11.59;1;0;1;1
873;11.59;2;0;1;0
874;11.59;3;-1;0;1
875;11.59;4;0;1;1
876;11.59;5;0;1;0
877;11.59;5;-1;0;0
878;12.00;7;-1;1;1
879;12.00;3;0;0;1
880;12.00;4;0;0;0
881;12.00;6;-1;1;2
882;12.00;5;-1;0;0
883;12.00;6;0;0;1
884;12.00;8;-1;0;0
885;12.00;3;0;0;1
886;12.00;8;-1;-1;0
